Date,Opening,User,Rating_dif,winner
5/21/18,A00,1,230,0
5/21/18,A00,1,115,0
5/23/18,A00,1,158,0
5/23/18,A00,1,62,1
5/23/18,B21,1,69,1
5/23/18,A00,1,65,0
5/23/18,A00,1,43,1
5/23/18,C20,1,74,0
5/25/18,A40,1,5,0
5/25/18,A03,1,54,0
5/26/18,A30,1,40,1
5/26/18,C00,1,112,1
5/26/18,A40,1,15,1
5/26/18,C20,1,2,1
5/25/18,A00,1,154,1
5/27/18,A02,1,336,1
5/28/18,C25,1,53,0
5/28/18,C30,1,205,0
5/28/18,A40,1,221,0
5/28/18,D00,1,37,0
5/29/18,D00,1,325,0
5/30/18,D00,1,695,0
5/30/18,D00,1,720,0
5/30/18,D00,1,386,0
6/2/18,A00,1,145,1
6/2/18,C00,1,99,0
6/2/18,C00,1,132,0
5/31/18,D00,1,110,1
6/4/18,A45,1,60,1
6/4/18,C23,1,107,0
6/4/18,B00,1,16,0
6/4/18,D00,1,209,0
6/8/18,D11,1,150,0
6/8/18,A00,1,166,0
6/5/18,A40,1,12,1
6/8/18,D00,1,87,1
6/8/18,D00,1,154,1
6/8/18,B07,1,124,0
6/9/18,C20,1,400,0
6/10/18,A04,1,173,1
6/18/18,A00,1,104,0
6/18/18,A45,1,94,0
6/19/18,A01,1,65,1
6/20/18,A00,1,30,0
6/20/18,C00,1,16,1
6/21/18,A40,1,124,1
6/23/18,C41,1,121,0
6/24/18,A40,1,71,1
6/24/18,C41,1,101,1
7/25/18,B07,1,9,1
7/28/18,B01,1,11,1
7/28/18,D00,1,43,0
7/28/18,A07,1,170,1
7/31/18,A00,1,162,0
7/31/18,B00,1,256,1
8/1/18,A00,1,183,0
8/2/18,C40,1,49,1
8/2/18,B07,1,306,1
8/4/18,C00,1,154,0
8/3/18,D15,1,55,1
8/4/18,C41,1,226,1
8/4/18,A20,1,113,0
8/6/18,A40,1,12,1
8/5/18,D02,1,160,1
8/6/18,C20,1,196,1
8/7/18,A04,1,257,1
8/8/18,A04,1,277,1
8/10/18,C25,1,294,1
8/11/18,A04,1,276,0
8/13/18,A34,1,203,0
8/13/18,C20,1,224,1
8/14/18,A00,1,160,0
8/15/18,B00,1,183,1
8/15/18,C40,1,203,1
8/17/18,A00,1,221,1
8/18/18,C20,1,237,1
8/19/18,A00,1,252,1
8/20/18,C20,1,265,1
8/20/18,B00,1,230,0
8/22/18,A15,1,229,1
8/30/18,C00,1,277,1
9/1/18,A40,1,288,1
9/6/18,C40,1,53,0
9/6/18,B07,1,26,0
9/4/18,A00,1,268,0
9/6/18,B00,1,219,0
9/8/18,D00,1,304,1
9/10/18,A00,1,219,1
9/12/18,A00,1,228,1
9/13/18,B00,1,247,1
9/13/18,A00,1,264,1
9/16/18,B20,1,279,1
9/16/18,C23,1,293,1
9/18/18,B07,1,276,0
9/19/18,B00,1,27,0
9/19/18,C40,1,307,1
10/8/18,A02,1,191,0
10/28/18,A20,1,46,0
11/6/18,A40,1,436,1
11/8/18,A00,4,757,1
11/9/18,C20,1,757,1
11/11/18,B00,4,175,1
