Date,White,Black,Opening,White_rating,Black_rating,winner,url
2018.05.21,jtucker109,Lancelot601,A00,648,878,Lancelot601,https://www.chess.com/game/live/2824429098
2018.05.21,AASHW1N,jtucker109,A00,624,509,AASHW1N,https://www.chess.com/game/live/2824447023
2018.05.23,jtucker109,fac2496,A00,417,575,fac2496,https://www.chess.com/game/live/2828832941
2018.05.23,jtucker109,thekennis,A00,518,456,jtucker109,https://www.chess.com/game/live/2830048038
2018.05.23,123damian1,jtucker109,B21,699,630,jtucker109,https://www.chess.com/game/live/2830237134
2018.05.23,the_k_i_ng,jtucker109,A00,466,531,the_k_i_ng,https://www.chess.com/game/live/2830273820
2018.05.23,HCAZ1224,jtucker109,A00,552,595,jtucker109,https://www.chess.com/game/live/2830309565
2018.05.23,jtucker109,sanya1976,C20,545,619,sanya1976,https://www.chess.com/game/live/2830402596
2018.05.25,kangurooo,jtucker109,A40,496,491,kangurooo,https://www.chess.com/game/live/2834407928
2018.05.25,jtucker109,kangurooo,A03,450,504,kangurooo,https://www.chess.com/game/live/2834440129
2018.05.26,AlwaysHogwarts,jtucker109,A30,453,493,jtucker109,https://www.chess.com/game/live/2836008253
2018.05.26,jtucker109,samurai_zach97,C00,521,409,jtucker109,https://www.chess.com/game/live/2836046573
2018.05.26,jtucker109,malli052,A40,555,540,jtucker109,https://www.chess.com/game/live/2836283574
2018.05.26,woodcock492,jtucker109,C20,586,588,jtucker109,https://www.chess.com/game/live/2836321077
2018.05.25,Silky_exe,jtucker109,A00,923,1077,jtucker109,https://www.chess.com/game/daily/195599114
2018.05.27,jtucker109,Silky_exe,A02,1168,832,jtucker109,https://www.chess.com/game/daily/195686892
2018.05.28,jtucker109,adnan53,C25,562,615,adnan53,https://www.chess.com/game/live/2841054924
2018.05.28,mohmmedflgy,jtucker109,C30,753,548,mohmmedflgy,https://www.chess.com/game/live/2841092944
2018.05.28,jtucker109,mohmmedflgy,A40,536,757,mohmmedflgy,https://www.chess.com/game/live/2841115218
2018.05.28,Silky_exe,jtucker109,D00,1013,976,Silky_exe,https://www.chess.com/game/daily/195779914
2018.05.29,jtucker109,Silky_exe,D00,924,1249,Silky_exe,https://www.chess.com/game/daily/195910206
2018.05.30,Silky_exe,jtucker109,D00,1230,535,Silky_exe,https://www.chess.com/game/live/2843538580
2018.05.30,jtucker109,Silky_exe,D00,534,1254,Silky_exe,https://www.chess.com/game/live/2843564311
2018.05.30,Silky_exe,jtucker109,D00,1279,893,Silky_exe,https://www.chess.com/game/daily/195932034
2018.06.02,AzadDersim,jtucker109,A00,405,550,jtucker109,https://www.chess.com/game/live/2850284995
2018.06.02,jtucker109,AzadDersim,C00,519,420,AzadDersim,https://www.chess.com/game/live/2850306550
2018.06.02,jzkoddjsi,jtucker109,C00,356,488,jzkoddjsi,https://www.chess.com/game/live/2851171970
2018.05.31,jtucker109,Silky_exe,D00,1034,1144,jtucker109,https://www.chess.com/game/daily/196090830
2018.06.04,jtucker109,bigswiftee,A45,506,446,jtucker109,https://www.chess.com/game/live/2855917623
2018.06.04,cimotana,jtucker109,C23,372,479,cimotana,https://www.chess.com/game/live/2855954961
2018.06.04,jtucker109,cecilw,B00,458,442,cecilw,https://www.chess.com/game/live/2855960608
2018.06.04,Silky_exe,jtucker109,D00,1193,984,Silky_exe,https://www.chess.com/game/daily/196383662
2018.06.08,Otharus,jtucker109,D11,596,446,Otharus,https://www.chess.com/game/live/2863062928
2018.06.08,ALEXIA-2016,jtucker109,A00,600,434,ALEXIA-2016,https://www.chess.com/game/live/2863091852
2018.06.05,jtucker109,Silky_exe,A40,1069,1081,jtucker109,https://www.chess.com/game/daily/196511502
2018.06.08,Silky_exe,jtucker109,D00,1036,1123,jtucker109,https://www.chess.com/game/daily/196701946
2018.06.08,jtucker109,Silky_exe,D00,1159,1005,jtucker109,https://www.chess.com/game/daily/196739320
2018.06.08,Silky_exe,jtucker109,B07,1019,1143,Draw,https://www.chess.com/game/daily/196765990
2018.06.09,Silky_exe,jtucker109,C20,1200,800,Silky_exe,https://www.chess.com/game/live/2867171574
2018.06.10,jtucker109,Silky_exe,A04,1169,996,jtucker109,https://www.chess.com/game/daily/196847660
2018.06.18,jtucker109,rohitshinde1204,A00,410,306,rohitshinde1204,https://www.chess.com/game/live/2884921759
2018.06.18,jtucker109,PatrikTorn,A45,397,491,PatrikTorn,https://www.chess.com/game/live/2885454124
2018.06.19,aniaurog,jtucker109,A01,492,427,jtucker109,https://www.chess.com/game/live/2886866853
2018.06.20,jtucker109,W1llest310,A00,411,441,W1llest310,https://www.chess.com/game/live/2888760383
2018.06.20,HugeSchlong420,jtucker109,C00,445,429,jtucker109,https://www.chess.com/game/live/2890670471
